#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-07-03T20:22:50 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5b3bdabe8aef 
#INFO -out.max=unlimited 
#INFO queryParameters=17 
#-oc.form=sexa
#-out.max=unlimited
#-nav=cat:J/A+A/568/A22&tab:{J/A+A/568/A22/tablef3}&key:source=J/A+A/568/A22/tablef3&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/568/A22/tablef3
#-order=I
#-out=Name
#-out=zcmb
#-out=mb
#-out=e_mb
#-out=x1
#-out=e_x1
#-out=c
#-out=e_c
#

#RESOURCE=yCat_35680022
#Name: J/A+A/568/A22
#Title: Joint analysis of the SDSS-II and SNLS SNe Ia (Betoule+, 2014)
#Table J_A_A_568_A22_tablef3:
#Name: J/A+A/568/A22/tablef3
#Title: Supernovae light-curve parameters
#---Details of Columns:
    Name       (a12)   Supernovae name [ucd=meta.id;meta.main]
    zcmb       (F6.3)  [0,1.4] CMB frame redshift (1) [ucd=src.redshift]
    mb (mag)   (F6.3)  B band peak magnitude m_B_ (3) [ucd=phot.mag;em.opt.B]
    e_mb (mag) (F6.3)  Error in mb (4) [ucd=stat.error]
    x1         (F6.3)  SALT2 shape (stretch) parameter x_1_ [ucd=stat.fit.param]
    e_x1       (F6.3)  Error in x1 [ucd=stat.error]
    c          (F6.3)  SALT2 color parameter c [ucd=stat.fit.param]
    e_c        (F6.3)  Error in color [ucd=stat.error]
------------ ------ ------ ------ ------ ------ ------ ------
                    mb     e_mb                              
Name         zcmb   (mag)  (mag)  x1     e_x1   c      e_c   
------------ ------ ------ ------ ------ ------ ------ ------
03D1au        0.503 23.002  0.088  1.273  0.150 -0.012  0.030
03D1aw        0.581 23.574  0.090  0.974  0.274 -0.025  0.037
03D1ax        0.495 22.960  0.088 -0.729  0.102 -0.100  0.030
03D1bp        0.346 22.398  0.087 -1.155  0.113 -0.041  0.027
03D1co        0.678 24.078  0.098  0.619  0.404 -0.039  0.067
03D1dt        0.611 23.285  0.093 -1.162  1.641 -0.095  0.050
03D1ew        0.866 24.354  0.106  0.376  0.348 -0.063  0.068
03D1fc        0.331 21.861  0.086  0.650  0.119 -0.018  0.024
03D1fq        0.799 24.510  0.102 -1.057  0.407 -0.056  0.065
03D3aw        0.450 22.667  0.092  0.810  0.232 -0.086  0.038
03D3ay        0.371 22.273  0.091  0.570  0.198 -0.054  0.033
03D3ba        0.292 21.961  0.093  0.761  0.173  0.116  0.035
03D3bl        0.356 22.927  0.087  0.056  0.193  0.205  0.030
03D3cd        0.461 22.575  0.096  1.862  0.565 -0.043  0.038
03D4ag        0.284 21.257  0.087  0.937  0.105 -0.085  0.023
03D4at        0.632 23.739  0.093  0.209  0.330 -0.051  0.067
03D4au        0.466 23.790  0.090  0.377  0.333  0.122  0.043
03D4cj        0.269 21.058  0.086  1.151  0.085 -0.080  0.023
03D4cx        0.947 24.460  0.115 -0.096  0.673  0.057  0.065
03D4cy        0.925 24.706  0.125  0.863  0.640 -0.058  0.072
03D4cz        0.693 24.032  0.100 -1.764  0.385 -0.077  0.085
03D4dh        0.625 23.387  0.091  1.128  0.184 -0.043  0.050
03D4di        0.897 24.333  0.110  1.454  0.416 -0.084  0.064
03D4dy        0.608 23.245  0.091  1.138  0.183 -0.098  0.036
03D4fd        0.789 24.222  0.100  0.784  0.472 -0.043  0.066
03D4gf        0.578 23.324  0.090  0.509  0.312 -0.036  0.038
03D4gg        0.590 23.431  0.093  1.001  0.435  0.012  0.040
04D1aj        0.720 23.899  0.096  0.391  0.357 -0.034  0.067
04D1dc        0.210 21.057  0.086 -1.236  0.062 -0.003  0.025
04D1de        0.767 24.132  0.097  0.906  0.244 -0.119  0.056
04D1ff        0.859 24.246  0.102  0.728  0.277  0.047  0.058
04D1hd        0.368 22.157  0.086  0.789  0.068 -0.092  0.022
04D1hx        0.559 23.700  0.090  0.285  0.192  0.112  0.035
04D1hy        0.849 24.295  0.101  1.151  0.276 -0.054  0.055
04D1iv        0.996 24.618  0.112  1.273  0.343 -0.131  0.051
04D1jd        0.777 24.398  0.098  0.135  0.287  0.099  0.070
04D1jg        0.583 23.273  0.090  0.265  0.159 -0.105  0.034
04D1kj        0.584 23.336  0.089  0.218  0.126 -0.063  0.030
04D1ks        0.797 24.129  0.098  0.699  0.263  0.094  0.062
04D1oh        0.589 23.396  0.091 -0.067  0.207 -0.069  0.033
04D1ow        0.913 24.344  0.105 -0.044  0.286 -0.161  0.052
04D1pc        0.769 24.546  0.097 -0.334  0.339  0.085  0.064
04D1pd        0.948 24.677  0.112  0.183  0.422  0.041  0.061
04D1pg        0.514 23.573  0.090  0.986  0.196  0.103  0.036
04D1pp        0.734 23.985  0.094 -1.345  0.223 -0.117  0.053
04D1pu        0.638 24.012  0.101 -1.611  0.377  0.107  0.083
04D1qd        0.766 24.244  0.096  0.181  0.273  0.012  0.054
04D1rh        0.435 22.556  0.087  0.828  0.210 -0.057  0.026
04D1rx        0.983 24.760  0.114  0.595  0.449 -0.099  0.059
04D1sa        0.584 23.564  0.092 -0.443  0.289 -0.066  0.034
04D1si        0.701 23.858  0.094  0.137  0.297 -0.012  0.054
04D1sk        0.662 24.073  0.093  0.445  0.377  0.084  0.056
04D2al        0.838 24.338  0.114 -1.314  1.142 -0.090  0.083
04D2an        0.622 23.581  0.092 -0.297  0.570 -0.044  0.048
04D2cf        0.371 22.463  0.096 -0.862  0.218 -0.014  0.035
04D2fp        0.417 22.547  0.087  0.385  0.128 -0.050  0.028
04D2fs        0.359 22.425  0.086  0.094  0.102  0.061  0.026
04D2gb        0.452 22.903  0.088 -1.588  0.173  0.028  0.034
04D2gc        0.523 23.329  0.089  1.140  0.202  0.018  0.036
04D2gp        0.734 24.212  0.103 -1.352  0.413 -0.141  0.086
04D2iu        0.702 24.227  0.100 -1.908  0.419  0.041  0.085
04D2ja        0.742 24.094  0.103  0.358  0.400 -0.202  0.071
04D2kr        0.746 23.856  0.096  0.789  0.314 -0.024  0.053
04D2mc        0.350 22.510  0.090 -1.797  0.126  0.085  0.030
04D2mh        0.592 23.386  0.090  1.581  0.174  0.023  0.034
04D2mj        0.515 23.777  0.090  1.541  0.225  0.156  0.035
04D3co        0.621 23.784  0.093 -0.677  0.195 -0.028  0.046
04D3cy        0.644 23.786  0.094 -0.205  0.205 -0.028  0.065
04D3dd        1.003 25.039  0.137  0.672  0.684 -0.016  0.075
04D3df        0.471 23.532  0.088 -2.069  0.150  0.106  0.030
04D3do        0.611 23.560  0.091 -0.831  0.149 -0.119  0.033
04D3ez        0.263 21.666  0.086 -1.083  0.084  0.027  0.023
04D3fk        0.358 22.516  0.086 -0.387  0.081  0.079  0.023
04D3fq        0.743 24.096  0.097 -0.430  0.363 -0.041  0.069
04D3gt        0.452 23.242  0.088 -0.214  0.112  0.191  0.029
04D3gx        0.911 24.654  0.112 -0.449  0.439 -0.146  0.059
04D3hn        0.553 23.488  0.090 -0.574  0.124  0.074  0.037
04D3kr        0.338 21.966  0.086  1.232  0.086 -0.019  0.023
04D3ks        0.751 23.809  0.099  0.624  0.308 -0.030  0.064
04D3lp        0.984 24.983  0.142 -1.386  0.568  0.009  0.079
04D3lu        0.823 24.373  0.100 -0.557  0.230 -0.125  0.059
04D3mk        0.814 24.297  0.099 -0.269  0.284 -0.147  0.057
04D3ml        0.951 24.596  0.112  1.170  0.446 -0.137  0.054
04D3nc        0.818 24.272  0.102  1.190  0.450 -0.083  0.057
04D3nh        0.341 22.137  0.086  0.612  0.088 -0.004  0.022
04D3nr        0.961 24.587  0.116  0.201  0.482  0.027  0.060
04D3ny        0.811 24.234  0.106 -0.075  0.491 -0.015  0.066
04D3oe        0.757 24.055  0.096 -1.003  0.277 -0.246  0.060
04D4an        0.611 24.015  0.095 -0.361  0.403  0.020  0.042
04D4bk        0.878 24.329  0.103  1.742  0.436 -0.113  0.060
04D4bq        0.548 23.337  0.091  0.649  0.262  0.101  0.039
04D4dm        0.809 24.395  0.102 -0.266  0.320  0.003  0.062
04D4dw        1.029 24.589  0.125  1.103  0.424 -0.142  0.061
04D4fx        0.627 23.513  0.092  0.954  0.194 -0.034  0.051
04D4gg        0.422 22.726  0.088  1.237  0.139  0.083  0.027
04D4hf        0.934 24.816  0.127  0.846  0.645  0.039  0.084
04D4hu        0.701 23.921  0.095  0.015  0.236 -0.108  0.059
04D4ib        0.697 23.589  0.093  0.976  0.218 -0.138  0.053
04D4ic        0.685 24.118  0.098 -0.866  0.390 -0.011  0.073
04D4id        0.767 24.198  0.101  0.681  0.449 -0.174  0.061
04D4ih        0.932 24.399  0.111  0.318  0.345 -0.214  0.053
04D4ii        0.864 24.398  0.104  1.338  0.417 -0.007  0.060
04D4im        0.749 23.830  0.096  0.937  0.237  0.033  0.060
04D4in        0.514 22.881  0.089  1.531  0.147 -0.070  0.029
04D4jr        0.468 22.635  0.087  1.528  0.121 -0.063  0.027
04D4ju        0.470 23.759  0.088  0.448  0.224  0.153  0.035
04D4jw        0.959 24.773  0.125 -0.702  0.394 -0.200  0.064
04D4jy        0.928 24.760  0.121  0.086  0.452 -0.114  0.069
05D1az        0.841 24.254  0.101  1.862  0.369 -0.013  0.060
05D1cb        0.631 23.701  0.092 -0.247  0.204  0.001  0.043
05D1cc        0.563 23.507  0.090 -0.148  0.154 -0.009  0.032
05D1ck        0.616 24.071  0.092 -0.095  0.234  0.109  0.039
05D1cl        0.829 24.362  0.101  2.292  0.344 -0.067  0.058
05D1dn        0.565 23.285  0.090  1.230  0.223 -0.021  0.035
05D1dx        0.579 23.279  0.089  0.651  0.122 -0.045  0.031
05D1ee        0.558 23.522  0.090 -0.594  0.188  0.000  0.035
05D1em        0.864 24.277  0.103  0.231  0.292 -0.142  0.059
05D1eo        0.736 24.300  0.097 -1.464  0.302 -0.052  0.066
05D1er        0.859 24.622  0.106  0.414  0.447  0.075  0.074
05D1hk        0.262 21.190  0.087  1.380  0.120 -0.010  0.026
05D1hm        0.586 24.088  0.093  1.097  0.290  0.148  0.042
05D1if        0.762 24.040  0.097  0.177  0.251 -0.057  0.053
05D1ix        0.489 22.868  0.088  0.545  0.137 -0.068  0.027
05D1iz        0.859 24.427  0.116  1.158  0.703 -0.137  0.080
05D1ke        0.689 23.604  0.092  0.228  0.257 -0.108  0.050
05D1kl        0.559 24.149  0.093  0.658  0.296  0.133  0.041
05D2ab        0.325 21.993  0.086 -0.147  0.085 -0.040  0.022
05D2ac        0.481 22.671  0.088  1.124  0.112 -0.054  0.025
05D2ah        0.185 20.759  0.086 -0.075  0.048  0.001  0.024
05D2ay        0.922 24.664  0.117 -0.434  0.622  0.027  0.094
05D2bt        0.682 23.499  0.094  0.541  0.258 -0.151  0.050
05D2bv        0.476 22.715  0.088 -0.007  0.124 -0.104  0.025
05D2bw        0.922 24.380  0.118 -0.311  0.475 -0.138  0.063
05D2by        0.893 24.576  0.106  1.324  0.493 -0.028  0.063
05D2cb        0.429 23.397  0.089  0.901  0.192  0.159  0.029
05D2ci        0.632 23.606  0.098 -0.931  0.247  0.078  0.067
05D2ck        0.700 24.456  0.097 -2.642  0.471  0.006  0.070
05D2ct        0.736 24.384  0.105  0.320  0.467  0.099  0.070
05D2dt        0.576 23.653  0.092  0.172  0.271  0.034  0.036
05D2dw        0.419 22.469  0.088  1.143  0.165 -0.013  0.025
05D2dy        0.512 22.907  0.089  1.238  0.221 -0.117  0.029
05D2eb        0.536 22.992  0.091  0.881  0.271 -0.056  0.032
05D2ec        0.642 23.678  0.093 -0.211  0.215 -0.103  0.054
05D2fq        0.735 24.001  0.096  0.836  0.315 -0.076  0.058
05D2hc        0.352 22.685  0.086 -0.674  0.164  0.037  0.025
05D2he        0.610 23.928  0.092  0.149  0.375  0.064  0.042
05D2ie        0.350 22.228  0.087 -0.090  0.139 -0.075  0.026
05D2le        0.702 23.958  0.095  0.509  0.311 -0.013  0.051
05D2mp        0.355 22.387  0.088  1.277  0.187  0.014  0.025
05D2my        0.983 24.667  0.115  1.177  0.468 -0.036  0.059
05D2nn        0.872 24.427  0.119 -0.743  0.582 -0.196  0.058
05D2nt        0.759 24.107  0.096  1.513  0.307 -0.013  0.052
05D2ob        0.926 24.811  0.111  1.139  0.646  0.056  0.068
05D3ax        0.644 23.615  0.099  0.591  0.421 -0.063  0.065
05D3cf        0.420 22.938  0.088 -0.258  0.174  0.008  0.027
05D3ci        0.516 23.621  0.107  2.120  0.582  0.167  0.045
05D3cq        0.891 24.224  0.104 -0.725  0.457 -0.207  0.052
05D3cx        0.806 23.903  0.097  0.669  0.463 -0.161  0.049
05D3dd        0.481 22.949  0.088 -0.207  0.126 -0.029  0.025
05D3dh        0.801 24.208  0.099  0.087  0.275  0.121  0.065
05D3gp        0.581 23.517  0.098 -0.458  0.398 -0.062  0.048
05D3gv        0.716 23.992  0.097 -0.806  0.294 -0.064  0.064
05D3ha        0.806 24.394  0.106 -0.186  0.394  0.089  0.066
05D3hh        0.767 24.299  0.104  0.502  0.423 -0.003  0.066
05D3hs        0.665 23.513  0.094  0.558  0.208 -0.175  0.050
05D3ht        0.902 24.408  0.111  0.902  0.389 -0.154  0.059
05D3jb        0.746 23.920  0.095  0.939  0.232 -0.063  0.052
05D3jh        0.719 23.724  0.095 -0.614  0.184 -0.138  0.052
05D3jk        0.737 23.692  0.094  0.774  0.180 -0.132  0.048
05D3jq        0.580 23.295  0.089  1.489  0.208  0.002  0.029
05D3jr        0.371 22.629  0.087 -0.893  0.121  0.049  0.023
05D3km        0.961 24.719  0.112  0.378  0.314 -0.159  0.051
05D3kp        0.851 24.140  0.099  1.278  0.235 -0.145  0.050
05D3kt        0.649 23.975  0.093 -0.450  0.196  0.057  0.050
05D3kx        0.219 20.852  0.085  0.699  0.063 -0.040  0.024
05D3la        0.937 24.494  0.109 -0.192  0.301 -0.103  0.053
05D3lb        0.648 23.899  0.092  0.310  0.183  0.033  0.051
05D3lc        0.462 22.975  0.087 -0.748  0.108 -0.046  0.025
05D3lr        0.601 23.845  0.094  0.178  0.346  0.106  0.041
05D3mh        0.671 24.064  0.096  0.571  0.474  0.054  0.055
05D3mn        0.761 24.032  0.095 -0.120  0.292 -0.041  0.052
05D3mq        0.246 21.506  0.086 -0.684  0.170  0.000  0.026
05D3mx        0.471 23.023  0.089 -1.668  0.156 -0.078  0.032
05D3ne        0.169 20.293  0.088 -1.464  0.193 -0.143  0.030
05D4af        0.497 23.103  0.089  0.145  0.233 -0.026  0.031
05D4ag        0.638 23.888  0.098  0.489  0.478  0.096  0.061
05D4av        0.507 23.559  0.089  0.885  0.180  0.168  0.031
05D4be        0.535 22.872  0.089  0.908  0.131 -0.145  0.029
05D4bf        0.587 23.614  0.091  0.086  0.236 -0.006  0.041
05D4bi        0.773 24.049  0.099  1.040  0.390 -0.140  0.066
05D4bj        0.699 24.107  0.095  0.169  0.297  0.060  0.057
05D4bm        0.371 22.212  0.086  0.254  0.070 -0.066  0.023
05D4cn        0.761 24.082  0.096  1.043  0.245 -0.017  0.058
05D4cq        0.699 23.733  0.094  0.688  0.269 -0.122  0.056
05D4cs        0.788 23.976  0.096  1.396  0.212 -0.109  0.050
05D4cw        0.374 22.145  0.087 -0.833  0.104 -0.129  0.025
05D4dt        0.405 22.802  0.087 -0.989  0.107 -0.048  0.025
05D4dw        0.853 24.433  0.102  0.333  0.340 -0.008  0.062
05D4dy        0.808 24.608  0.102 -0.415  0.390 -0.126  0.066
05D4ef        0.603 23.829  0.092 -1.558  0.210 -0.066  0.037
05D4ej        0.583 23.713  0.091  0.227  0.175 -0.026  0.036
05D4ek        0.534 23.295  0.090  0.263  0.178  0.070  0.032
05D4ev        0.720 24.235  0.098 -1.102  0.289 -0.027  0.064
05D4ff        0.400 22.587  0.088 -0.725  0.122 -0.005  0.026
05D4fg        0.837 24.189  0.101  0.283  0.271 -0.158  0.058
05D4fo        0.372 22.438  0.086 -0.701  0.088 -0.051  0.023
05D4gw        0.806 24.466  0.105  0.029  0.462  0.037  0.069
05D4hn        0.840 24.191  0.104  1.230  0.774  0.070  0.073
06D2bk        0.501 23.277  0.089  0.471  0.277  0.005  0.032
06D2ca        0.533 23.313  0.090  1.278  0.354  0.049  0.032
06D2cc        0.534 23.455  0.095 -0.552  0.327  0.082  0.050
06D2cd        0.932 24.775  0.130  0.258  0.959  0.023  0.093
06D2ce        0.822 24.189  0.105  2.000  0.924 -0.005  0.076
06D2ck        0.554 23.411  0.092  0.012  0.398 -0.032  0.038
06D2fb        0.125 19.752  0.086 -0.357  0.055 -0.019  0.025
06D2ga        0.842 24.283  0.112  1.261  0.690 -0.059  0.073
06D2gb        0.444 22.995  0.092 -1.632  0.248 -0.014  0.039
06D3bz        0.728 23.947  0.099 -0.795  0.407 -0.107  0.067
06D3cc        0.684 24.055  0.115  0.692  0.632  0.000  0.085
06D3df        0.443 22.664  0.087  1.153  0.164 -0.026  0.023
06D3do        0.727 23.897  0.095  0.615  0.477 -0.072  0.053
06D3dt        0.283 22.152  0.086  0.088  0.095  0.089  0.022
06D3ed        0.405 22.603  0.086 -0.385  0.081 -0.069  0.023
06D3el        0.520 22.874  0.089  0.770  0.109 -0.141  0.027
06D3em        0.691 24.378  0.096 -0.154  0.359  0.177  0.062
06D3en        1.061 24.708  0.132 -0.953  0.413 -0.158  0.061
06D3et        0.577 23.457  0.090 -1.366  0.152 -0.076  0.034
06D3fp        0.268 21.712  0.086 -0.072  0.054  0.048  0.022
06D3gh        0.721 23.914  0.099  0.235  0.340 -0.071  0.066
06D3gn        0.250 21.864  0.086 -0.527  0.096  0.115  0.026
06D3gx        0.761 23.907  0.101  0.551  0.692 -0.129  0.082
06D4ba        0.698 23.730  0.102  0.679  0.413 -0.098  0.072
06D4bo        0.550 23.220  0.089  0.769  0.177 -0.043  0.030
06D4bw        0.730 23.905  0.097  0.682  0.261  0.013  0.062
06D4ce        0.848 24.196  0.111  1.752  0.571 -0.109  0.062
06D4cl        0.998 24.529  0.116  1.177  0.387 -0.087  0.054
06D4co        0.435 22.524  0.087 -0.396  0.095 -0.047  0.023
06D4cq        0.409 22.557  0.087  0.431  0.095 -0.037  0.022
06D4dh        0.302 21.442  0.086  0.519  0.063 -0.162  0.022
Aphrodite     1.299 25.691  0.128  0.664  0.358  0.010  0.037
Eagle         1.021 24.965  0.119  0.305  0.292 -0.104  0.060
Elvis         0.840 24.363  0.113 -0.082  0.331 -0.020  0.040
Gabi          1.121 25.147  0.122  0.620  0.307 -0.075  0.053
Lancaster     1.231 26.047  0.129 -0.077  0.690  0.087  0.048
Ombo          0.974 24.886  0.118  1.716  0.295 -0.005  0.044
Patuxent      0.971 25.020  0.119 -0.103  0.630 -0.218  0.107
