,velocity
0,278.2291025890699
1,306.95843686662283
2,292.34153899763703
3,289.52474498380815
4,286.32726275578887
5,292.05845771925505
6,305.3720892152928
7,276.0530515073401
8,289.86544611412654
9,292.62061385140026
10,293.79436438052915
11,293.55012928962395
12,273.007264198601
13,291.16111016081516
14,293.7439322911473
15,290.62422210369766
16,54.602562657927116
17,297.5739969540849
18,298.5229036762211
19,295.46263922026765
20,297.6999615765645
21,298.19857257885235
22,299.4766272617725
23,293.1013448222833
24,289.42789960968855
25,278.1636893895418
26,302.2346559145717
27,285.3911035164785
28,283.0540522041316
29,289.90228525527544
30,296.30059973704954
31,278.4288058949859
32,282.7039021367727
33,283.282640699643
34,300.210571300168
35,285.54603042524127
36,286.71356818492023
37,281.7423475666973
38,287.3202358961121
39,264.1229502871021
40,305.58770414980336
41,304.8709528405545
42,280.148399008611
43,288.906932241874
44,320.10126475043455
45,285.5911145121169
46,283.9293120827337
47,289.4891685021305
48,278.0018654755107
49,262.78713960487715
